Date,NDVI,Field_ID,Location,Season
2023-01-11,0.1644504018954402,north_field_a,North,
2023-01-11,0.4211611590655651,north_field_g,North,
2023-01-11,0.2408923678752771,north_field_h,North,
2023-01-11,0.4905565690891634,north_field_j,North,
2023-01-11,0.2268242486062279,north_field_e,North,
2023-01-11,0.5332185003168701,north_field_m,North,
2023-01-11,0.5347813463129435,north_field_b,North,
2023-01-11,0.1759891469868926,north_field_d,North,
2023-01-11,0.2897280776868816,north_field_c,North,
2023-01-11,0.4155703262505466,north_field_l,North,
2023-01-11,0.3751449333392295,north_field_k,North,
2023-01-11,0.2546324468658689,north_field_i,North,
2023-01-11,0.1935155421323706,north_field_f,North,
2023-02-25,0.3861704411092203,north_field_i,North,
2023-02-25,0.1906114498924603,north_field_a,North,
2023-02-25,0.2551646637287978,north_field_h,North,
2023-02-25,0.7166545415804951,north_field_j,North,
2023-02-25,0.1480068070271203,north_field_e,North,
2023-02-25,0.3989236466763715,north_field_m,North,
2023-02-25,0.3942737615280242,north_field_b,North,
2023-02-25,0.6014029364010628,north_field_k,North,
2023-02-25,0.1562078354347411,north_field_d,North,
2023-02-25,0.4439293859337881,north_field_g,North,
2023-02-25,0.4072399746588408,north_field_l,North,
2023-02-25,0.2348168909217231,north_field_f,North,
2023-02-25,0.5498991371558409,north_field_c,North,
2023-03-17,0.3895243103297692,north_field_m,North,
2023-03-17,0.3554220666672462,north_field_i,North,
2023-03-17,0.2562884148046831,north_field_h,North,
2023-03-17,0.3703951975719249,north_field_f,North,
2023-03-17,0.1943037530918606,north_field_e,North,
2023-03-17,0.3593751103448425,north_field_l,North,
2023-03-17,0.5380604455281529,north_field_c,North,
2023-03-17,0.4218911506863498,north_field_g,North,
2023-03-17,0.6371964185355798,north_field_j,North,
2023-03-17,0.1581246543313631,north_field_d,North,
2023-03-17,0.4726615067959641,north_field_b,North,
2023-03-17,0.4201309425815686,north_field_k,North,
2023-03-17,0.5998120679076395,north_field_a,North,
2023-04-21,0.3550726044005519,north_field_a,North,
2023-04-21,0.1863586163921389,north_field_j,North,
2023-04-21,0.2278275806278716,north_field_l,North,
2023-04-21,0.2855316857470079,north_field_b,North,
2023-04-21,0.2902460027959935,north_field_i,North,
2023-04-21,0.3047898441150452,north_field_m,North,
2023-04-21,0.3385784866695909,north_field_f,North,
2023-04-21,0.2250882666851531,north_field_k,North,
2023-04-21,0.2550148571403045,north_field_c,North,
2023-04-21,0.2834397862282388,north_field_g,North,
2023-04-21,0.1810120168087491,north_field_d,North,
2023-04-21,0.1959167338376052,north_field_e,North,
2023-04-21,0.3081651490871402,north_field_h,North,
2023-05-06,0.2107838308525655,north_field_l,North,
2023-05-06,0.1842531552261671,north_field_e,North,
2023-05-06,0.1607680965863139,north_field_j,North,
2023-05-06,0.2415980863341077,north_field_b,North,
2023-05-06,0.2901408759145616,north_field_m,North,
2023-05-06,0.167219445532856,north_field_c,North,
2023-05-06,0.2905421062921935,north_field_h,North,
2023-05-06,0.3057718705437554,north_field_f,North,
2023-05-06,0.2557728416107183,north_field_i,North,
2023-05-06,0.2072082333589615,north_field_k,North,
2023-05-06,0.29349529377391,north_field_a,North,
2023-05-06,0.1740854807078913,north_field_d,North,
2023-05-06,0.2502690805670663,north_field_g,North,
2023-05-11,0.2599561511115659,north_field_a,North,
2023-05-11,0.2584132514471362,north_field_f,North,
2023-05-11,0.2506380836397815,north_field_i,North,
2023-05-11,0.2129593146305958,north_field_l,North,
2023-05-11,0.1461237361209247,north_field_c,North,
2023-05-11,0.2438419680336317,north_field_b,North,
2023-05-11,0.1770224932491881,north_field_d,North,
2023-05-11,0.1954264266441418,north_field_k,North,
2023-05-11,0.2778084321341823,north_field_m,North,
2023-05-11,0.1720604551678043,north_field_e,North,
2023-05-11,0.1713482839594037,north_field_j,North,
2023-05-11,0.2444989606492204,north_field_g,North,
2023-05-11,0.2820493318042824,north_field_h,North,
2023-05-26,0.2008081562886471,north_field_e,North,
2023-05-26,0.1655025903321109,north_field_c,North,
2023-05-26,0.2052808302220986,north_field_l,North,
2023-05-26,0.206664967846614,north_field_k,North,
2023-05-26,0.2316328958803303,north_field_b,North,
2023-05-26,0.2410824134996537,north_field_i,North,
2023-05-26,0.2745246266447413,north_field_m,North,
2023-05-26,0.280393951393901,north_field_f,North,
2023-05-26,0.1838266613466286,north_field_d,North,
2023-05-26,0.2797873944608406,north_field_h,North,
2023-05-26,0.1715789298019088,north_field_j,North,
2023-05-26,0.2587400186163256,north_field_a,North,
2023-05-26,0.2312390151154424,north_field_g,North,
2023-06-05,0.2136326138756086,north_field_g,North,
2023-06-05,0.1953729390554313,north_field_k,North,
2023-06-05,0.1575064622382015,north_field_c,North,
2023-06-05,0.166638695567438,north_field_j,North,
2023-06-05,0.1946064718731271,north_field_l,North,
2023-06-05,0.212335162497939,north_field_b,North,
2023-06-05,0.253767177424249,north_field_m,North,
2023-06-05,0.2253944673356677,north_field_i,North,
2023-06-05,0.2027787162631663,north_field_e,North,
2023-06-05,0.2012682362373284,north_field_d,North,
2023-06-05,0.2328967787567626,north_field_a,North,
2023-06-05,0.2570923253489405,north_field_h,North,
2023-06-05,0.2555194486487752,north_field_f,North,
2023-06-10,0.2190350946077766,north_field_b,North,
2023-06-10,0.260318987710257,north_field_m,North,
2023-06-10,0.2585495726709757,north_field_h,North,
2023-06-10,0.2017295646318961,north_field_k,North,
2023-06-10,0.2028724693585797,north_field_l,North,
2023-06-10,0.1992406574965975,north_field_d,North,
2023-06-10,0.2306171220165235,north_field_i,North,
2023-06-10,0.202146213257816,north_field_e,North,
2023-06-10,0.2574906556420612,north_field_f,North,
2023-06-10,0.2191391973023092,north_field_g,North,
2023-06-10,0.2344054393453839,north_field_a,North,
2023-06-10,0.1769315332130875,north_field_j,North,
2023-06-10,0.1662975717983387,north_field_c,North,
2023-06-15,0.2159751148623023,north_field_d,North,
2023-06-15,0.2073895751424211,north_field_l,North,
2023-06-15,0.2319787692674713,north_field_i,North,
2023-06-15,0.227835564808884,north_field_g,North,
2023-06-15,0.2610233357828693,north_field_f,North,
2023-06-15,0.241031230187,north_field_a,North,
2023-06-15,0.2638211906171472,north_field_h,North,
2023-06-15,0.1831832433541396,north_field_j,North,
2023-06-15,0.2272438677585335,north_field_b,North,
2023-06-15,0.2100410624941995,north_field_k,North,
2023-06-15,0.2660233162872807,north_field_m,North,
2023-06-15,0.2123731820072254,north_field_e,North,
2023-06-15,0.2097810770139218,north_field_c,North,
2023-06-20,0.2285609365650142,north_field_i,North,
2023-06-20,0.2275727644530432,north_field_e,North,
2023-06-20,0.2051515869822304,north_field_d,North,
2023-06-20,0.2004948308484586,north_field_c,North,
2023-06-20,0.2529142486691998,north_field_h,North,
2023-06-20,0.2513559908082844,north_field_f,North,
2023-06-20,0.2257817190440247,north_field_b,North,
2023-06-20,0.1847777214480945,north_field_j,North,
2023-06-20,0.2180229183148515,north_field_g,North,
2023-06-20,0.2534604583056674,north_field_m,North,
2023-06-20,0.2021451317798499,north_field_k,North,
2023-06-20,0.2347688105732086,north_field_a,North,
2023-06-20,0.2038415030556502,north_field_l,North,
2023-06-25,0.2204832418561071,north_field_a,North,
2023-06-25,0.2049077438317279,north_field_g,North,
2023-06-25,0.2368223535743107,north_field_f,North,
2023-06-25,0.1966286907353922,north_field_k,North,
2023-06-25,0.1728765044792672,north_field_j,North,
2023-06-25,0.1984926693664409,north_field_e,North,
2023-06-25,0.2124031616079204,north_field_i,North,
2023-06-25,0.2386319181864609,north_field_h,North,
2023-06-25,0.1919184904677,north_field_l,North,
2023-06-25,0.2440150432060779,north_field_m,North,
2023-06-25,0.1801577171220453,north_field_c,North,
